alpha_id,expr,sharpe,fitness,turnover,ic_mean
r9382w8,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 0)",-0.15,-0.05,0.0746,-0.000339
nmJrmLz,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 1)",-0.17,-0.05,0.0181,-0.001214
r938wAo,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 2)",0.96,0.43,0.0202,0.002479
MdWVJaM,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 3)",-0.02,-0.0,0.0297,-0.000126
gXA0kgg,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 4)",0.16,0.05,0.0162,0.001245
0xlavQ2,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 5)",0.32,0.13,0.0154,0.002681
ORY2qPd,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 6)",0.38,0.11,0.0284,0.000704
md3lzV2,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 7)",-0.05,-0.01,0.0175,-0.000379
98v2wgd,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 8)",0.82,0.38,0.0152,0.00345
dYXPZNj,"ts_regression (ts_zscore(cap,500), ts_zscore(assets,500),500,rettype = 9)",0.68,0.28,0.018,0.002422
lEqNvR7,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 0)",-0.23,-0.09,0.0756,-0.000524
pxXpadV,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 1)",-0.26,-0.1,0.0173,-0.001998
EN7282R,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 2)",0.31,0.08,0.0194,0.000838
w3mA8gY,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 3)",-0.06,-0.01,0.03,-0.000321
vZqb3nw,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 4)",0.14,0.04,0.0163,0.001081
aeY8XX9,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 5)",0.19,0.06,0.0157,0.001619
31bO33g,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 6)",-0.23,-0.05,0.0283,-0.000432
PxWbpkE,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 7)",-0.22,-0.08,0.0179,-0.001833
98v3VEd,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 8)",0.72,0.31,0.0152,0.003113
eNpP6Zl,"ts_regression (ts_zscore(cap,500), ts_zscore(liabilities,500),500,rettype = 9)",0.9,0.43,0.018,0.003221
31bO0vz,"ts_regression (ts_zscore(cap,500), ts_zscore(sales,500),500,rettype = 0)",-0.35,-0.17,0.0729,-0.000788
