alpha_id,expr,sharpe,fitness,turnover,ic_mean
jVMLM8Q,assets,0.15,0.05,0.0115,0.002084
ZX1Z8n3,assets_curr,0.19,0.08,0.0151,0.003112
XNOXrb5,bookvalue_ps,0.2,0.08,0.0202,0.00189
ZX1kGlZ,capex,0.07,0.02,0.0092,0.001504
9G2ggbx,cash,0.23,0.11,0.0219,0.002535
Em2og8R,cash_st,0.22,0.08,0.0198,0.00178
k8Ye0AO,cashflow,-0.04,-0.0,0.0167,-0.000228
9G2gWzq,cashflow_dividends,0.01,0.0,0.0089,0.000199
q5we5n2,cashflow_fin,0.03,0.0,0.0139,0.000309
QWomgeQ,cashflow_invst,-0.03,-0.0,0.0144,-0.000245
oPkQdL2,cashflow_op,0.15,0.05,0.0104,0.002882
k8Yk7Y6,cogs,0.12,0.04,0.0139,0.001911
VMRwoNM,debt_st,-0.12,-0.04,0.0283,-0.000912
R5vZZvn,depre_amort,0.14,0.05,0.0231,0.00136
QWorQqG,ebit,0.17,0.06,0.0078,0.0047
vYon2nz,ebitda,0.14,0.05,0.0084,0.003718
Yl9w8Pw,employee,0.03,0.0,0.0166,0.000323
1G2VAnm,enterprise_value,0.11,0.04,0.035,0.000806
mKlJLJX,eps,0.13,0.04,0.0321,0.00075
QWoqLAQ,equity,0.07,0.02,0.0144,0.000887
vYoxxaz,fnd6_acdo,0.86,0.79,0.0175,0.012184
d9PgEzE,fnd6_acodo,0.18,0.07,0.0098,0.003976
n6XY2nd,fnd6_acox,0.23,0.1,0.0098,0.004972
0Ga9RjG,fnd6_acqgdwl,-0.36,-0.18,0.0259,-0.002291
r0nENY9,fnd6_acqintan,0.2,0.08,0.026,0.001714
PPAqm7J,fnd6_adesinda_curcd,0.49,0.31,0.0089,0.011361
3G23N5Q,fnd6_aldo,-0.01,-0.0,0.0145,-0.000246
8G2rbGm,fnd6_am,0.2,0.09,0.0149,0.003428
J32mR3m,fnd6_aodo,0.22,0.08,0.0071,0.004853
GQ763E0,fnd6_aox,0.23,0.09,0.0071,0.005041
L826p3L,fnd6_aqc,0.32,0.15,0.017,0.003404
pWpEjjj,fnd6_aqi,0.79,0.69,0.0281,0.006812
7G2Q662,fnd6_aqs,-0.71,-0.57,0.0289,-0.005508
xlEQ2Yn,fnd6_beta,-0.0,-0.0,0.0071,-4.3e-05
ZX1xJx8,fnd6_capxv,0.09,0.02,0.0094,0.001984
7G2X99O,fnd6_ceql,0.09,0.02,0.0143,0.001154
k8YmXmK,fnd6_ch,0.13,0.04,0.009,0.002409
O62mbb1,fnd6_ci,0.1,0.03,0.0178,0.001156
GQ78LRP,fnd6_cibegni,0.05,0.01,0.0176,0.000598
AL2aNGl,fnd6_cicurr,0.51,0.24,0.0192,0.002931
8G26G1z,fnd6_cidergl,-0.21,-0.08,0.0178,-0.001815
vYozGK3,fnd6_cik,-0.72,-0.5,0.0086,-0.014047
3G26OWe,fnd6_cimii,-0.66,-0.39,0.0158,-0.005436
k8YLxOO,fnd6_ciother,0.99,0.67,0.0189,0.00602
L82ljKM,fnd6_cipen,0.66,0.41,0.0186,0.005123
0GaErqq,assets/cap,0.98,0.99,0.0428,0.005915
O62ZWEY,assets_curr/cap,0.7,0.62,0.0507,0.003856
zALmGOX,bookvalue_ps/cap,0.25,0.12,0.0474,0.001258
VMRPRaG,capex/cap,0.58,0.64,0.0441,0.006818
0GaEVM8,cash/cap,0.32,0.19,0.0565,0.001557
5G2kZEn,cash_st/cap,0.52,0.34,0.0476,0.002304
R5v1390,cashflow/cap,-0.64,-0.4,0.0446,-0.002242
d9PR8vj,debt_st/cap,-0.07,-0.02,0.0488,-0.000251
3G2e7r0,depre_amort/cap,0.6,0.57,0.0496,0.004492
lgN3vR5,ebit/cap,0.4,0.24,0.0463,0.002018
bxKdrXN,ebitda/cap,0.61,0.53,0.0464,0.004107
2G2p106,employee/cap,0.81,0.81,0.0458,0.005402
O62GEAR,enterprise_value/cap,0.39,0.27,0.0553,0.002245
pWpNoxg,eps/cap,0.11,0.04,0.0657,0.000397
WYxAaPN,equity/cap,0.91,0.78,0.0482,0.003815
GQ7GwrZ,fnd6_acdo/cap,0.88,0.9,0.0319,0.008144
ZX1E0vx,fnd6_acodo/cap,1.11,1.12,0.0375,0.006764
6G2pMNK,fnd6_acox/cap,1.09,1.08,0.0374,0.006584
9G2pkqx,fnd6_acqgdwl/cap,-0.26,-0.15,0.048,-0.001737
aRg18V2,fnd6_acqintan/cap,0.06,0.02,0.047,0.000413
pWpNLz6,fnd6_adesinda_curcd/cap,-0.25,-0.13,0.0494,-0.001379
O627OXb,fnd6_aldo/cap,0.27,0.17,0.0278,0.003645
NK27oPo,fnd6_am/cap,0.25,0.14,0.0414,0.001879
PPA7lOK,fnd6_aodo/cap,0.58,0.4,0.0269,0.004417
vYojdbz,fnd6_aox/cap,0.65,0.47,0.0271,0.004855
Yl97v3M,fnd6_aqc/cap,0.65,0.48,0.037,0.00362
oPkqa82,fnd6_aqi/cap,0.48,0.42,0.0514,0.003643
e1WzV0l,fnd6_aqs/cap,-0.62,-0.59,0.0489,-0.004697
oPkqkbb,fnd6_beta/cap,-0.09,-0.03,0.0432,-0.000587
O62rKGd,fnd6_capxv/cap,0.6,0.68,0.0444,0.007124
Yl952Mw,fnd6_ceql/cap,1.07,1.02,0.0491,0.004664
r0n5WL3,fnd6_ch/cap,0.41,0.24,0.0396,0.002185
5G2QpjN,fnd6_ci/cap,0.27,0.15,0.0511,0.001523
9G2VEnq,fnd6_cibegni/cap,0.27,0.15,0.0513,0.001546
6G2r07P,fnd6_cicurr/cap,0.23,0.09,0.0404,0.000962
Em2vMZR,fnd6_cidergl/cap,-0.82,-0.6,0.0365,-0.003677
7G2ZeP2,fnd6_cik/cap,-0.59,-0.48,0.0521,-0.003185
L82Njrv,fnd6_cimii/cap,0.26,0.12,0.041,0.001333
e1WbJbg,fnd6_ciother/cap,0.3,0.16,0.0351,0.001934
QWobvNg,fnd6_cipen/cap,0.17,0.07,0.0405,0.000949
GQjNGbQ,-is_nan(assets),1.26,1.28,0.1119,0.002303
QWRAbrM,-is_nan(assets_curr),0.68,0.4,0.0763,0.001159
q52p5eZ,-is_nan(bookvalue_ps),1.42,1.17,0.0562,0.003011
9G53OR2,-is_nan(capex),1.46,1.42,0.0478,0.004974
QWRA8EW,-is_nan(cash),0.52,0.22,0.0617,0.000717
VMQbkxA,-is_nan(cash_st),1.25,1.2,0.121,0.001893
9G5O1jV,-is_nan(cashflow),1.5,1.45,0.047,0.005008
R5xwqYe,-is_nan(cashflow_dividends),1.32,1.17,0.0441,0.004464
